id,Datum,Warengruppe,Umsatz,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,KielerWoche
1406211,2014-06-21,1,162.410672754329,6.0,15.5125,18,61.0,1
1406221,2014-06-22,1,99.6276132843513,5.0,15.7,19,,1
1406231,2014-06-23,1,130.997404965594,4.0,16.5,17,,1
1406241,2014-06-24,1,119.068455962972,7.0,14.3625,7,21.0,1
1406251,2014-06-25,1,114.248639971521,0.0,18.4375,10,,1
1406261,2014-06-26,1,139.644833904018,6.0,17.575,8,63.0,1
1406271,2014-06-27,1,149.199619823898,4.0,20.1625,7,95.0,1
1406281,2014-06-28,1,234.368963456298,6.0,16.9625,6,95.0,1
1406291,2014-06-29,1,99.024824945212,7.0,17.3125,8,61.0,1
1506201,2015-06-20,1,146.634813820399,5.0,17.125,13,,1
1506211,2015-06-21,1,77.1354317914719,6.0,15.75,6,,1
1506221,2015-06-22,1,135.938737758693,5.0,13.5,8,61.0,1
1506231,2015-06-23,1,122.481453982781,5.0,16.5,10,21.0,1
1506241,2015-06-24,1,128.059192073461,8.0,12.625,14,61.0,1
1506251,2015-06-25,1,178.518522583761,6.0,17.125,8,21.0,1
1506261,2015-06-26,1,148.837350354137,7.0,19.25,5,61.0,1
1506271,2015-06-27,1,169.797038127635,7.0,19.375,16,61.0,1
1506281,2015-06-28,1,77.928316055467,2.0,19.875,10,,1
1606181,2016-06-18,1,178.053503357419,6.0,18.0,12,21.0,1
1606191,2016-06-19,1,47.3015501376727,7.0,16.0,14,,1
1606201,2016-06-20,1,154.234328655126,4.0,20.875,10,61.0,1
1606211,2016-06-21,1,122.723468787436,4.0,19.875,9,,1
1606221,2016-06-22,1,98.8851882321757,5.0,22.125,9,61.0,1
1606231,2016-06-23,1,159.229870584471,5.0,27.875,8,,1
1606241,2016-06-24,1,146.028836187358,5.0,24.125,9,,1
1606251,2016-06-25,1,160.675602624552,7.0,18.25,14,95.0,1
1606261,2016-06-26,1,70.9661977461169,5.0,19.25,11,0.0,1
1706171,2017-06-17,1,152.587185601354,0.0,20.125,15,0.0,1
1706181,2017-06-18,1,75.1727854873289,2.0,24.25,9,,1
1706191,2017-06-19,1,146.631334543439,1.0,25.375,7,0.0,1
1706201,2017-06-20,1,127.815304326711,0.0,20.75,12,0.0,1
1706211,2017-06-21,1,120.022105971466,3.0,18.75,10,,1
1706221,2017-06-22,1,78.1688619382617,3.0,20.25,10,95.0,1
1706231,2017-06-23,1,160.591006007475,7.0,17.25,14,61.0,1
1706241,2017-06-24,1,213.304834757744,6.0,17.875,19,61.0,1
1706251,2017-06-25,1,69.3531645812572,7.0,17.25,16,20.0,1
1806161,2018-06-16,1,165.240825926878,5.0,21.325,7,95.0,1
1806171,2018-06-17,1,131.774736746731,5.0,18.275,12,61.0,1
1806181,2018-06-18,1,150.60898110442,7.0,17.6375,9,61.0,1
1806191,2018-06-19,1,134.103229549554,3.0,19.2375,16,21.0,1
1806201,2018-06-20,1,187.760363692391,3.0,23.65,13,0.0,1
1806211,2018-06-21,1,137.380800589863,7.0,11.5625,15,65.0,1
1806221,2018-06-22,1,173.94005241559,5.0,15.575,20,61.0,1
1806231,2018-06-23,1,228.688308197952,7.0,14.3,18,61.0,1
1806241,2018-06-24,1,96.8397776549712,6.0,16.2375,10,21.0,1
1406212,2014-06-21,2,691.302129885254,6.0,15.5125,18,61.0,1
1406222,2014-06-22,2,687.127455430513,5.0,15.7,19,,1
1406232,2014-06-23,2,511.714043984716,4.0,16.5,17,,1
1406242,2014-06-24,2,508.608322070437,7.0,14.3625,7,21.0,1
1406252,2014-06-25,2,517.169259136224,0.0,18.4375,10,,1
1406262,2014-06-26,2,583.733870024269,6.0,17.575,8,63.0,1
1406272,2014-06-27,2,595.204307059367,4.0,20.1625,7,95.0,1
1406282,2014-06-28,2,861.858616856627,6.0,16.9625,6,95.0,1
1406292,2014-06-29,2,770.70069957598,7.0,17.3125,8,61.0,1
1506202,2015-06-20,2,571.278131371528,5.0,17.125,13,,1
1506212,2015-06-21,2,553.599170821681,6.0,15.75,6,,1
1506222,2015-06-22,2,412.309330067662,5.0,13.5,8,61.0,1
1506232,2015-06-23,2,423.1358501964,5.0,16.5,10,21.0,1
1506242,2015-06-24,2,479.943327331225,8.0,12.625,14,61.0,1
1506252,2015-06-25,2,484.513720535521,6.0,17.125,8,21.0,1
1506262,2015-06-26,2,517.667163948615,7.0,19.25,5,61.0,1
1506272,2015-06-27,2,708.700690129254,7.0,19.375,16,61.0,1
1506282,2015-06-28,2,686.349904220686,2.0,19.875,10,,1
1606182,2016-06-18,2,455.115566690297,6.0,18.0,12,21.0,1
1606192,2016-06-19,2,515.510722561944,7.0,16.0,14,,1
1606202,2016-06-20,2,414.129888774016,4.0,20.875,10,61.0,1
1606212,2016-06-21,2,390.81874030213,4.0,19.875,9,,1
1606222,2016-06-22,2,437.625292013129,5.0,22.125,9,61.0,1
1606232,2016-06-23,2,444.85642620105,5.0,27.875,8,,1
1606242,2016-06-24,2,504.789708077128,5.0,24.125,9,,1
1606252,2016-06-25,2,770.940264429072,7.0,18.25,14,95.0,1
1606262,2016-06-26,2,673.058408685448,5.0,19.25,11,0.0,1
1706172,2017-06-17,2,578.780125724772,0.0,20.125,15,0.0,1
1706182,2017-06-18,2,586.165188828483,2.0,24.25,9,,1
1706192,2017-06-19,2,382.488175663817,1.0,25.375,7,0.0,1
1706202,2017-06-20,2,434.849517951858,0.0,20.75,12,0.0,1
1706212,2017-06-21,2,430.906719081176,3.0,18.75,10,,1
1706222,2017-06-22,2,418.672448020086,3.0,20.25,10,95.0,1
1706232,2017-06-23,2,439.210505371538,7.0,17.25,14,61.0,1
1706242,2017-06-24,2,631.28176537999,6.0,17.875,19,61.0,1
1706252,2017-06-25,2,577.997897373246,7.0,17.25,16,20.0,1
1806162,2018-06-16,2,536.452348266225,5.0,21.325,7,95.0,1
1806172,2018-06-17,2,561.16613003467,5.0,18.275,12,61.0,1
1806182,2018-06-18,2,453.773846005242,7.0,17.6375,9,61.0,1
1806192,2018-06-19,2,439.387692233904,3.0,19.2375,16,21.0,1
1806202,2018-06-20,2,438.20673354481,3.0,23.65,13,0.0,1
1806212,2018-06-21,2,425.408065202863,7.0,11.5625,15,65.0,1
1806222,2018-06-22,2,443.18009337283,5.0,15.575,20,61.0,1
1806232,2018-06-23,2,706.424379766017,7.0,14.3,18,61.0,1
