id,Datum,Warengruppe,Umsatz,_merge,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,Niederschlag,KielerWoche
1307011,2013-07-01,1,148.828353112183,left_only,6.0,17.8375,15.0,20.0,0.3,
1307012,2013-07-01,2,535.856284785361,left_only,6.0,17.8375,15.0,20.0,0.3,
1307013,2013-07-01,3,201.198425690037,left_only,6.0,17.8375,15.0,20.0,0.3,
1307014,2013-07-01,4,65.890168799361,left_only,6.0,17.8375,15.0,20.0,0.3,
1307015,2013-07-01,5,317.475874933038,left_only,6.0,17.8375,15.0,20.0,0.3,
1307021,2013-07-02,1,159.79375714468,left_only,3.0,17.3125,10.0,,0.1,
1307022,2013-07-02,2,546.780787392297,left_only,3.0,17.3125,10.0,,0.1,
1307023,2013-07-02,3,265.261253994438,left_only,3.0,17.3125,10.0,,0.1,
1307024,2013-07-02,4,74.5439171827412,left_only,3.0,17.3125,10.0,,0.1,
1307025,2013-07-02,5,383.628681612577,left_only,3.0,17.3125,10.0,,0.1,
1307031,2013-07-03,1,111.885593514353,left_only,7.0,21.075,6.0,61.0,10.2,
1307032,2013-07-03,2,427.343258749983,left_only,7.0,21.075,6.0,61.0,10.2,
1307033,2013-07-03,3,210.260241465493,left_only,7.0,21.075,6.0,61.0,10.2,
1307034,2013-07-03,4,69.2627280649987,left_only,7.0,21.075,6.0,61.0,10.2,
1307035,2013-07-03,5,305.523072325318,left_only,7.0,21.075,6.0,61.0,10.2,
1307041,2013-07-04,1,168.864940979931,left_only,7.0,18.85,7.0,20.0,0.0,
1307042,2013-07-04,2,454.859641347987,left_only,7.0,18.85,7.0,20.0,0.0,
1307043,2013-07-04,3,190.686641378586,left_only,7.0,18.85,7.0,20.0,0.0,
1307044,2013-07-04,4,61.490175369225,left_only,7.0,18.85,7.0,20.0,0.0,
1307045,2013-07-04,5,308.408167942149,left_only,7.0,18.85,7.0,20.0,0.0,
1307051,2013-07-05,1,171.280754117955,left_only,5.0,19.975,12.0,,0.0,
1307052,2013-07-05,2,492.818804066088,left_only,5.0,19.975,12.0,,0.0,
1307053,2013-07-05,3,181.644870215041,left_only,5.0,19.975,12.0,,0.0,
1307054,2013-07-05,4,86.7598614451924,left_only,5.0,19.975,12.0,,0.0,
1307055,2013-07-05,5,355.518770367742,left_only,5.0,19.975,12.0,,0.0,
1307061,2013-07-06,1,174.552359998476,left_only,0.0,18.9625,8.0,,0.0,
1307062,2013-07-06,2,631.906068038484,left_only,0.0,18.9625,8.0,,0.0,
1307063,2013-07-06,3,291.557959835153,left_only,0.0,18.9625,8.0,,0.0,
1307064,2013-07-06,4,80.6465768881107,left_only,0.0,18.9625,8.0,,0.0,
1307065,2013-07-06,5,361.866932797941,left_only,0.0,18.9625,8.0,,0.0,
1307071,2013-07-07,1,92.6377553788373,left_only,0.0,21.375,9.0,,0.0,
1307072,2013-07-07,2,695.25572963054,left_only,0.0,21.375,9.0,,0.0,
1307073,2013-07-07,3,279.665938833443,left_only,0.0,21.375,9.0,,0.0,
1307074,2013-07-07,4,94.6039024817053,left_only,0.0,21.375,9.0,,0.0,
1307075,2013-07-07,5,370.20960108863,left_only,0.0,21.375,9.0,,0.0,
1307081,2013-07-08,1,135.500244042392,left_only,0.0,22.725,10.0,5.0,0.0,
1307082,2013-07-08,2,538.529249911711,left_only,0.0,22.725,10.0,5.0,0.0,
1307083,2013-07-08,3,195.158794309303,left_only,0.0,22.725,10.0,5.0,0.0,
1307084,2013-07-08,4,49.5000238633042,left_only,0.0,22.725,10.0,5.0,0.0,
1307085,2013-07-08,5,285.233382496522,left_only,0.0,22.725,10.0,5.0,0.0,
1307091,2013-07-09,1,136.048382778344,left_only,0.0,23.275,8.0,,0.0,
1307092,2013-07-09,2,585.957264698849,left_only,0.0,23.275,8.0,,0.0,
1307093,2013-07-09,3,245.808338509722,left_only,0.0,23.275,8.0,,0.0,
1307094,2013-07-09,4,75.2089975834558,left_only,0.0,23.275,8.0,,0.0,
1307095,2013-07-09,5,342.089345776475,left_only,0.0,23.275,8.0,,0.0,
1307101,2013-07-10,1,135.132314289581,left_only,2.0,19.6875,13.0,5.0,0.0,
1307102,2013-07-10,2,567.365764527953,left_only,2.0,19.6875,13.0,5.0,0.0,
1307103,2013-07-10,3,265.109142544045,left_only,2.0,19.6875,13.0,5.0,0.0,
1307104,2013-07-10,4,73.8056511129258,left_only,2.0,19.6875,13.0,5.0,0.0,
1307105,2013-07-10,5,343.353066508123,left_only,2.0,19.6875,13.0,5.0,0.0,
1307111,2013-07-11,1,138.549392636714,left_only,0.0,21.375,12.0,5.0,0.0,
1307112,2013-07-11,2,569.109374584873,left_only,0.0,21.375,12.0,5.0,0.0,
1307113,2013-07-11,3,234.65807920749,left_only,0.0,21.375,12.0,5.0,0.0,
1307114,2013-07-11,4,68.6330279122302,left_only,0.0,21.375,12.0,5.0,0.0,
1307115,2013-07-11,5,315.911756962233,left_only,0.0,21.375,12.0,5.0,0.0,
1307121,2013-07-12,1,101.447511461298,left_only,0.0,20.2875,7.0,,0.0,
1307122,2013-07-12,2,600.267914678783,left_only,0.0,20.2875,7.0,,0.0,
1307123,2013-07-12,3,290.199097765019,left_only,0.0,20.2875,7.0,,0.0,
1307125,2013-07-12,5,362.802489634211,left_only,0.0,20.2875,7.0,,0.0,
1307131,2013-07-13,1,141.233309883732,left_only,1.0,20.125,12.0,,0.0,
1307132,2013-07-13,2,747.140776382576,left_only,1.0,20.125,12.0,,0.0,
1307133,2013-07-13,3,340.046632736531,left_only,1.0,20.125,12.0,,0.0,
1307134,2013-07-13,4,74.2744737887665,left_only,1.0,20.125,12.0,,0.0,
